epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,67421.5,0.64236,0.38236,0.94873,0.99854,0.99,0.99333,0.84713,0.73552,0.35712,0.94694,0.0007229,0.0007229,0.0007229
131,68167.8,0.65227,0.38107,0.93281,0.98998,0.98818,0.99416,0.83122,0.76981,0.34886,0.96551,0.000713,0.000713,0.000713
132,68910.3,0.6562,0.39685,0.94631,1,0.99911,0.995,0.83359,0.77028,0.34772,0.9681,0.0007031,0.0007031,0.0007031
133,69653.6,0.65635,0.39787,0.95173,0.98838,1,0.9947,0.84152,0.72383,0.36815,0.95781,0.0006932,0.0006932,0.0006932
134,70395.7,0.64419,0.3905,0.94697,0.98864,0.99,0.99395,0.85816,0.6759,0.35234,0.93271,0.0006833,0.0006833,0.0006833
135,71139.3,0.64305,0.38149,0.94098,0.98893,0.98,0.99423,0.83639,0.70696,0.34264,0.94248,0.0006734,0.0006734,0.0006734
136,71881.8,0.64653,0.39089,0.93694,0.98868,0.98,0.99411,0.85,0.74789,0.3388,0.94117,0.0006635,0.0006635,0.0006635
137,72624.1,0.67173,0.40156,0.94549,1,0.97847,0.99397,0.85133,0.71727,0.33869,0.93584,0.0006536,0.0006536,0.0006536
138,73365.4,0.66099,0.39155,0.937,0.98998,0.98822,0.99433,0.84604,0.75449,0.33684,0.94468,0.0006437,0.0006437,0.0006437
139,74106.1,0.62547,0.36424,0.93172,0.99798,0.98,0.99366,0.84702,0.73644,0.34212,0.92697,0.0006338,0.0006338,0.0006338
140,74846.2,0.63285,0.37557,0.93302,0.98999,0.9895,0.99301,0.84356,0.71177,0.34293,0.92533,0.0006239,0.0006239,0.0006239
141,75587.9,0.61018,0.36496,0.92542,0.99817,0.98,0.99451,0.8464,0.70921,0.33805,0.92526,0.000614,0.000614,0.000614
142,76329.3,0.643,0.38393,0.94187,0.99617,0.98,0.99398,0.84792,0.73319,0.33787,0.95325,0.0006041,0.0006041,0.0006041
143,77070,0.65991,0.38084,0.94109,0.99869,0.99,0.99426,0.83907,0.72157,0.33032,0.94192,0.0005942,0.0005942,0.0005942
144,77810.8,0.61433,0.36708,0.92501,0.99008,0.99804,0.9949,0.85411,0.72982,0.31629,0.93618,0.0005843,0.0005843,0.0005843
145,78553.9,0.61491,0.37183,0.92885,1,0.98873,0.9948,0.85736,0.71021,0.32274,0.92842,0.0005744,0.0005744,0.0005744
